author,filename,additions,deletions
Antoine Rey,src/test/java/petclinic/service/ClinicServiceJdbcTests.java,2.0,2.0
Antoine Rey,src/test/java/petclinic/service/ClinicServiceJpaTests.java,3.0,4.0
Antoine Rey,src/test/java/petclinic/service/ClinicServiceSpringDataJpaTests.java,4.0,4.0
Antoine Rey,src/test/java/petclinic/web/VetControllerTests.java,4.0,4.0
Antoine Rey,src/main/java/petclinic/repository/jdbc/JdbcOwnerRepositoryImpl.java,3.0,0.0
Antoine Rey,src/main/java/petclinic/web/PetValidator.java,1.0,1.0
Antoine Rey,src/test/java/petclinic/service/AbstractClinicServiceTests.java,2.0,0.0
Tomas Repel,src/main/java/petclinic/web/OwnerController.java,1.0,1.0
Tomas Repel,src/main/java/petclinic/web/PetController.java,1.0,1.0
Joe Freeman,src/main/java/petclinic/util/CallMonitoringAspect.java,2.0,0.0
Antoine Rey,src/main/java/petclinic/repository/jdbc/JdbcOwnerRepositoryImpl.java,1.0,1.0
Antoine Rey,src/main/java/petclinic/repository/jdbc/JdbcVisitRepositoryImpl.java,1.0,1.0
Antoine Rey,src/main/java/petclinic/repository/jdbc/JdbcVisitRowMapper.java,1.0,1.0
Antoine Rey,src/main/java/petclinic/repository/jdbc/JdbcVisitRepositoryImpl.java,1.0,1.0
Antoine Rey,src/main/java/petclinic/repository/jdbc/JdbcVisitRowMapper.java,1.0,1.0
Antoine Rey,src/main/java/petclinic/repository/jdbc/JdbcVetRepositoryImpl.java,1.0,4.0
Antoine Rey,src/main/java/petclinic/model/Owner.java,2.0,2.0
Antoine Rey,src/main/java/petclinic/model/Pet.java,2.0,2.0
Antoine Rey,src/main/java/petclinic/model/Vet.java,2.0,2.0
Antoine Rey,src/main/java/petclinic/model/Vets.java,1.0,1.0
Antoine Rey,src/main/java/petclinic/repository/jdbc/JdbcOwnerRepositoryImpl.java,3.0,3.0
Antoine Rey,src/main/java/petclinic/repository/jdbc/JdbcPetRepositoryImpl.java,2.0,2.0
Antoine Rey,src/main/java/petclinic/repository/jdbc/JdbcVetRepositoryImpl.java,1.0,1.0
Antoine Rey,src/main/java/petclinic/web/PetController.java,6.0,6.0
Antoine Rey,src/main/java/petclinic/web/PetValidator.java,17.0,2.0
Antoine Rey,src/test/java/petclinic/web/VetControllerTests.java,0.0,2.0
Antoine Rey,src/main/java/petclinic/repository/jdbc/JdbcOwnerRepositoryImpl.java,1.0,1.0
Antoine Rey,src/main/java/petclinic/repository/jdbc/JdbcOwnerRepositoryImpl.java,1.0,3.0
Antoine Rey,src/test/java/petclinic/web/VetControllerTests.java,0.0,3.0
Antoine Rey,src/test/java/petclinic/service/AbstractClinicServiceTests.java,1.0,1.0
Antoine Rey,src/main/java/petclinic/repository/jdbc/JdbcPetRepositoryImpl.java,1.0,1.0
Antoine Rey,src/main/java/petclinic/repository/jdbc/JdbcVetRepositoryImpl.java,2.0,2.0
Antoine Rey,src/main/java/petclinic/util/EntityUtils.java,1.0,1.0
Michael Isvy,src/main/java/petclinic/repository/jdbc/JdbcVisitRepositoryImpl.java,0.0,4.0
Antoine Rey,src/main/java/petclinic/repository/jdbc/JdbcPetRowMapper.java,3.0,3.0
Michael Isvy,src/main/java/petclinic/repository/jdbc/JdbcOwnerRepositoryImpl.java,0.0,4.0
Antoine Rey,src/main/java/petclinic/repository/jdbc/JdbcPetVisitExtractor.java,6.0,2.0
Antoine Rey,src/main/java/petclinic/repository/jdbc/JdbcVisitRowMapper.java,4.0,0.0
Antoine Rey,src/main/java/petclinic/repository/jdbc/JdbcOwnerRepositoryImpl.java,2.0,8.0
Antoine Rey,src/main/java/petclinic/repository/jdbc/JdbcPetRowMapper.java,1.0,1.0
Antoine Rey,src/main/java/petclinic/repository/jdbc/JdbcPetVisitExtractor.java,50.0,0.0
Antoine Rey,src/main/java/petclinic/repository/jdbc/JdbcVisitRepositoryImpl.java,6.0,24.0
Antoine Rey,src/main/java/petclinic/repository/jdbc/JdbcVisitRowMapper.java,38.0,0.0
Michael Isvy,src/main/java/petclinic/web/VetController.java,1.0,1.0
Michael Isvy,src/test/java/petclinic/web/VetControllerTest.java,0.0,53.0
Michael Isvy,src/test/java/petclinic/web/VetControllerTests.java,53.0,0.0
Michael Isvy,src/main/java/petclinic/web/VetController.java,11.0,1.0
Michael Isvy,src/main/java/petclinic/web/VetsAtomView.java,0.0,73.0
Michael Isvy,src/test/java/petclinic/web/VetControllerTest.java,53.0,0.0
Michael Isvy,src/test/java/petclinic/web/VisitsViewTests.java,0.0,71.0
Michael Isvy,src/test/java/petclinic/model/ValidatorTests.java,1.0,3.0
Michael Isvy,src/main/java/petclinic/repository/jdbc/JdbcOwnerRepositoryImpl.java,1.0,0.0
Michael Isvy,src/main/java/petclinic/repository/jdbc/JdbcPet.java,1.0,1.0
Martin Klose,src/test/java/petclinic/service/AbstractClinicServiceTests.java,1.0,1.0
Michael Isvy,src/main/java/petclinic/repository/jdbc/JdbcOwnerRepositoryImpl.java,4.0,4.0
Michael Isvy,src/main/java/petclinic/repository/jdbc/JdbcPetRepositoryImpl.java,2.0,2.0
Michael Isvy,src/main/java/petclinic/repository/jdbc/JdbcPetRowMapper.java,3.0,3.0
Michael Isvy,src/main/java/petclinic/repository/jdbc/JdbcVetRepositoryImpl.java,4.0,5.0
Michael Isvy,src/main/java/petclinic/repository/jdbc/JdbcVisitRepositoryImpl.java,2.0,2.0
Michael Isvy,src/test/java/petclinic/service/AbstractClinicServiceTests.java,35.0,39.0
Michael Isvy,src/test/java/petclinic/model/ValidatorTests.java,5.0,2.0
Michael Isvy,src/test/java/petclinic/service/AbstractClinicServiceTests.java,33.0,33.0
Michael Isvy,src/test/java/petclinic/web/VisitsViewTests.java,0.0,1.0
Michael Isvy,src/main/java/petclinic/model/BaseEntity.java,0.0,2.0
Michael Isvy,src/test/java/petclinic/model/ValidatorTests.java,0.0,5.0
Michael Isvy,src/test/java/petclinic/service/AbstractClinicServiceTests.java,0.0,1.0
Michael Isvy,src/main/java/petclinic/util/CallMonitoringAspect.java,4.0,1.0
Michael Isvy,src/main/java/petclinic/web/OwnerController.java,8.0,7.0
Michael Isvy,src/main/java/petclinic/model/PetType.java,1.0,0.0
Michael Isvy,src/main/java/petclinic/repository/jdbc/JdbcVetRepositoryImpl.java,1.0,1.0
Michael Isvy,src/main/java/petclinic/service/ClinicService.java,1.0,1.0
Michael Isvy,src/test/java/petclinic/model/OwnerTests.java,0.0,44.0
Michael Isvy,src/test/java/petclinic/model/ValidatorTests.java,1.0,1.0
Michael Isvy,src/test/java/petclinic/service/AbstractClinicServiceTests.java,15.0,13.0
Michael Isvy,src/test/java/petclinic/web/VisitsViewTests.java,1.0,1.0
Michael Isvy,src/test/java/petclinic/web/VisitsViewTests.java,6.0,4.0
Michael Isvy,src/main/java/petclinic/web/VisitController.java,24.0,14.0
Michael Isvy,src/main/java/petclinic/web/VetsAtomView.java,9.0,10.0
Michael Isvy,src/main/java/petclinic/repository/jdbc/JdbcPet.java,1.0,2.0
Craig Dennis,src/main/java/petclinic/web/PetValidator.java,3.0,3.0
Antoine Rey,src/main/java/petclinic/service/ClinicService.java,7.0,7.0
Antoine Rey,src/test/java/petclinic/model/ValidatorTests.java,3.0,0.0
Michael Isvy,src/test/java/petclinic/service/ClinicServiceJpaTests.java,2.0,1.0
Michael Isvy,src/main/java/petclinic/web/PetValidator.java,10.0,1.0
Michael Isvy,src/main/java/petclinic/model/BaseEntity.java,3.0,1.0
boly38,src/main/java/petclinic/model/BaseEntity.java,1.0,1.0
Michael Isvy,src/test/java/petclinic/service/ClinicServiceJpaTests.java,1.0,2.0
Michael Isvy,src/test/java/petclinic/model/ValidatorTests.java,7.0,4.0
Michael Isvy,src/test/java/petclinic/model/ValidatorTests.java,1.0,1.0
Michael Isvy,src/test/java/petclinic/web/VisitsViewTest.java,0.0,70.0
Michael Isvy,src/test/java/petclinic/web/VisitsViewTests.java,70.0,0.0
Michael Isvy,src/test/java/petclinic/model/ValidatorTest.java,0.0,45.0
Michael Isvy,src/test/java/petclinic/model/ValidatorTests.java,45.0,0.0
Tejas Metha,src/main/java/petclinic/web/PetValidator.java,2.0,0.0
Michael Isvy,src/main/java/petclinic/web/PetController.java,0.0,1.0
Michael Isvy,src/main/java/petclinic/web/VetController.java,0.0,1.0
Michael Isvy,src/main/java/petclinic/web/VisitController.java,0.0,1.0
Michael Isvy,src/main/java/petclinic/web/OwnerController.java,7.0,6.0
Michael Isvy,src/main/java/petclinic/web/PetController.java,5.0,4.0
Michael Isvy,src/main/java/petclinic/web/VetController.java,4.0,2.0
Michael Isvy,src/main/java/petclinic/web/VisitController.java,4.0,2.0
Michael Isvy,src/main/java/petclinic/repository/jpa/JpaVetRepositoryImpl.java,1.0,1.0
Michael Isvy,src/main/java/petclinic/repository/jpa/JpaOwnerRepositoryImpl.java,6.0,1.0
Michael Isvy,src/main/java/petclinic/repository/jpa/JpaPetRepositoryImpl.java,6.0,1.0
Michael Isvy,src/main/java/petclinic/repository/jpa/JpaVisitRepositoryImpl.java,6.0,1.0
Michael Isvy,src/test/java/petclinic/service/AbstractClinicServiceTests.java,1.0,1.0
Michael Isvy,src/main/java/petclinic/repository/jpa/JpaOwnerRepositoryImpl.java,1.0,1.0
Michael Isvy,src/main/java/petclinic/repository/jpa/JpaPetRepositoryImpl.java,1.0,1.0
Michael Isvy,src/main/java/petclinic/repository/jpa/JpaVisitRepositoryImpl.java,1.0,1.0
Michael Isvy,src/test/java/petclinic/service/AbstractClinicServiceTests.java,5.0,0.0
Michael Isvy,src/test/java/petclinic/model/ValidatorTest.java,45.0,0.0
Michael Isvy,src/main/java/petclinic/repository/springdatajpa/JpaOwnerRepositoryImpl.java,0.0,70.0
Michael Isvy,src/main/java/petclinic/repository/springdatajpa/SpringDataOwnerRepository.java,41.0,0.0
Michael Isvy,src/test/java/petclinic/web/VisitsViewTest.java,1.0,1.0
Michael Isvy,src/main/java/petclinic/repository/springdatajpa/JpaOwnerRepositoryImpl.java,2.0,0.0
Michael Isvy,src/main/java/petclinic/util/CallMonitoringAspect.java,4.0,4.0
Michael Isvy,src/main/java/petclinic/util/EntityUtils.java,1.0,1.0
Michael Isvy,src/main/java/petclinic/repository/jdbc/JdbcVetRepositoryImpl.java,0.0,1.0
Michael Isvy,src/main/java/petclinic/repository/jdbc/JdbcOwnerRepositoryImpl.java,1.0,1.0
Michael Isvy,src/main/java/petclinic/service/ClinicServiceImpl.java,1.0,0.0
Michael Isvy,src/main/java/petclinic/repository/jdbc/JdbcVetRepositoryImpl.java,0.0,1.0
Michael Isvy,src/main/java/petclinic/service/ClinicServiceImpl.java,2.0,0.0
Michael Isvy,src/main/java/petclinic/model/Owner.java,13.0,4.0
Michael Isvy,src/main/java/petclinic/model/Person.java,2.0,2.0
Michael Isvy,src/main/java/petclinic/model/Pet.java,15.0,3.0
Michael Isvy,src/main/java/petclinic/model/Vet.java,14.0,4.0
Michael Isvy,src/main/java/petclinic/model/Vets.java,3.0,2.0
Michael Isvy,src/main/java/petclinic/model/Visit.java,6.0,2.0
Michael Isvy,src/main/java/petclinic/repository/OwnerRepository.java,2.0,2.0
Michael Isvy,src/main/java/petclinic/repository/PetRepository.java,2.0,2.0
Michael Isvy,src/main/java/petclinic/repository/VetRepository.java,2.0,2.0
Michael Isvy,src/main/java/petclinic/repository/VisitRepository.java,2.0,2.0
Michael Isvy,src/main/java/petclinic/repository/jdbc/JdbcOwnerRepositoryImpl.java,7.0,6.0
Michael Isvy,src/main/java/petclinic/repository/jdbc/JdbcPetRepositoryImpl.java,6.0,5.0
Michael Isvy,src/main/java/petclinic/repository/jdbc/JdbcPetRowMapper.java,3.0,3.0
Michael Isvy,src/main/java/petclinic/repository/jdbc/JdbcVetRepositoryImpl.java,6.0,6.0
Michael Isvy,src/main/java/petclinic/repository/jdbc/JdbcVisitRepositoryImpl.java,7.0,6.0
Michael Isvy,src/main/java/petclinic/repository/jpa/JpaOwnerRepositoryImpl.java,6.0,5.0
Michael Isvy,src/main/java/petclinic/repository/jpa/JpaPetRepositoryImpl.java,5.0,4.0
Michael Isvy,src/main/java/petclinic/repository/jpa/JpaVetRepositoryImpl.java,5.0,4.0
Michael Isvy,src/main/java/petclinic/repository/jpa/JpaVisitRepositoryImpl.java,5.0,4.0
Michael Isvy,src/main/java/petclinic/repository/springdatajpa/JpaOwnerRepositoryImpl.java,5.0,4.0
Michael Isvy,src/main/java/petclinic/repository/springdatajpa/SpringDataPetRepository.java,2.0,2.0
Michael Isvy,src/main/java/petclinic/service/ClinicService.java,7.0,3.0
Michael Isvy,src/main/java/petclinic/service/ClinicServiceImpl.java,7.0,3.0
Michael Isvy,src/main/java/petclinic/util/EntityUtils.java,2.0,2.0
Michael Isvy,src/main/java/petclinic/web/OwnerController.java,9.0,4.0
Michael Isvy,src/main/java/petclinic/web/PetController.java,8.0,3.0
Michael Isvy,src/main/java/petclinic/web/PetTypeFormatter.java,4.0,4.0
Michael Isvy,src/main/java/petclinic/web/VetsAtomView.java,10.0,8.0
Michael Isvy,src/main/java/petclinic/web/VisitController.java,7.0,3.0
Michael Isvy,src/test/java/petclinic/model/OwnerTests.java,3.0,3.0
Michael Isvy,src/test/java/petclinic/service/AbstractClinicServiceTests.java,5.0,6.0
Michael Isvy,src/test/java/petclinic/web/VisitsViewTest.java,7.0,6.0
Michael Isvy,src/main/java/petclinic/repository/jpa/JpaOwnerRepositoryImpl.java,8.0,1.0
Michael Isvy,src/test/java/petclinic/service/AbstractClinicServiceTests.java,1.0,1.0
Michael Isvy,src/test/java/petclinic/service/ClinicServiceJdbcTests.java,2.0,1.0
Michael Isvy,src/test/java/petclinic/service/ClinicServiceJpaTests.java,2.0,4.0
Michael Isvy,src/test/java/petclinic/service/ClinicServiceSpringDataJpaTests.java,2.0,0.0
Michael Isvy,src/test/java/petclinic/repository/AbstractOwnerRepositoryTests.java,0.0,101.0
Michael Isvy,src/test/java/petclinic/repository/AbstractPetRepositoryTests.java,0.0,103.0
Michael Isvy,src/test/java/petclinic/repository/AbstractVetRepositoryTests.java,0.0,60.0
Michael Isvy,src/test/java/petclinic/repository/AbstractVisitRepositoryTests.java,0.0,59.0
Michael Isvy,src/test/java/petclinic/repository/jdbc/JdbcOwnerRepositoryImplTests.java,0.0,36.0
Michael Isvy,src/test/java/petclinic/repository/jdbc/JdbcPetRepositoryImplTests.java,0.0,21.0
Michael Isvy,src/test/java/petclinic/repository/jdbc/JdbcVetRepositoryImplTests.java,0.0,21.0
Michael Isvy,src/test/java/petclinic/repository/jdbc/JdbcVisitRepositoryImplTests.java,0.0,21.0
Michael Isvy,src/test/java/petclinic/repository/jpa/JpaOwnerRepositoryImplTests.java,0.0,26.0
Michael Isvy,src/test/java/petclinic/repository/jpa/JpaPetRepositoryImplTests.java,0.0,21.0
Michael Isvy,src/test/java/petclinic/repository/jpa/JpaVetRepositoryImplTests.java,0.0,21.0
Michael Isvy,src/test/java/petclinic/repository/jpa/JpaVisitRepositoryImplTests.java,0.0,21.0
Michael Isvy,src/test/java/petclinic/repository/springdatajpa/JpaOwnerRepositoryImplTests.java,0.0,26.0
Michael Isvy,src/test/java/petclinic/repository/springdatajpa/JpaPetRepositoryImplTests.java,0.0,21.0
Michael Isvy,src/test/java/petclinic/repository/springdatajpa/JpaVetRepositoryImplTests.java,0.0,21.0
Michael Isvy,src/test/java/petclinic/repository/springdatajpa/JpaVisitRepositoryImplTests.java,0.0,21.0
Michael Isvy,src/test/java/petclinic/repository/springdatajpa/SpringDataOwnerRepositoryTests.java,0.0,19.0
Michael Isvy,src/test/java/petclinic/service/AbstractClinicServiceTests.java,190.0,0.0
Michael Isvy,src/test/java/petclinic/service/ClinicServiceJdbcTests.java,35.0,0.0
Michael Isvy,src/test/java/petclinic/service/ClinicServiceJpaTests.java,25.0,0.0
Michael Isvy,src/test/java/petclinic/service/ClinicServiceSpringDataJpaTests.java,18.0,0.0
Michael Isvy,src/test/java/petclinic/repository/jdbc/JdbcOwnerRepositoryImplTests.java,1.0,1.0
Michael Isvy,src/test/java/petclinic/repository/jdbc/JdbcPetRepositoryImplTests.java,1.0,1.0
Michael Isvy,src/test/java/petclinic/repository/jdbc/JdbcVetRepositoryImplTests.java,1.0,1.0
Michael Isvy,src/test/java/petclinic/repository/jdbc/JdbcVisitRepositoryImplTests.java,1.0,1.0
Michael Isvy,src/test/java/petclinic/repository/jpa/JpaOwnerRepositoryImplTests.java,1.0,1.0
Michael Isvy,src/test/java/petclinic/repository/jpa/JpaPetRepositoryImplTests.java,1.0,1.0
Michael Isvy,src/test/java/petclinic/repository/jpa/JpaVetRepositoryImplTests.java,1.0,1.0
Michael Isvy,src/test/java/petclinic/repository/jpa/JpaVisitRepositoryImplTests.java,1.0,1.0
Michael Isvy,src/test/java/petclinic/repository/springdatajpa/JpaOwnerRepositoryImplTests.java,1.0,1.0
Michael Isvy,src/test/java/petclinic/repository/springdatajpa/JpaPetRepositoryImplTests.java,1.0,1.0
Michael Isvy,src/test/java/petclinic/repository/springdatajpa/JpaVetRepositoryImplTests.java,1.0,1.0
Michael Isvy,src/test/java/petclinic/repository/springdatajpa/JpaVisitRepositoryImplTests.java,1.0,1.0
Michael Isvy,src/test/java/petclinic/repository/springdatajpa/SpringDataOwnerRepositoryTests.java,1.0,1.0
Michael Isvy,src/test/java/petclinic/repository/AbstractOwnerRepositoryTests.java,15.0,15.0
Michael Isvy,src/test/java/petclinic/repository/AbstractPetRepositoryTests.java,15.0,19.0
Michael Isvy,src/test/java/petclinic/repository/AbstractVetRepositoryTests.java,8.0,9.0
Michael Isvy,src/test/java/petclinic/repository/AbstractVisitRepositoryTests.java,7.0,9.0
Julien Dubois,src/main/java/petclinic/repository/jpa/JpaOwnerRepositoryImpl.java,1.0,1.0
Julien Dubois,src/main/java/petclinic/repository/springdatajpa/JpaOwnerRepositoryImpl.java,1.0,1.0
Michael Isvy,src/test/java/petclinic/web/VisitsAtomViewTest.java,0.0,92.0
Michael Isvy,src/test/java/petclinic/web/VisitsAtomViewWithContainerTest.java,0.0,69.0
Michael Isvy,src/test/java/petclinic/web/VisitsViewTest.java,69.0,0.0
Gordon Dickens,src/main/java/petclinic/model/BaseEntity.java,14.0,14.0
Gordon Dickens,src/main/java/petclinic/model/NamedEntity.java,15.0,15.0
Gordon Dickens,src/main/java/petclinic/model/Owner.java,112.0,119.0
Gordon Dickens,src/main/java/petclinic/model/Person.java,20.0,21.0
Gordon Dickens,src/main/java/petclinic/model/Pet.java,64.0,75.0
Gordon Dickens,src/main/java/petclinic/model/PetType.java,2.0,1.0
Gordon Dickens,src/main/java/petclinic/model/Specialty.java,3.0,2.0
Gordon Dickens,src/main/java/petclinic/model/Vet.java,31.0,40.0
Gordon Dickens,src/main/java/petclinic/model/Vets.java,12.0,13.0
Gordon Dickens,src/main/java/petclinic/model/Visit.java,87.0,70.0
Gordon Dickens,src/main/java/petclinic/repository/OwnerRepository.java,31.0,29.0
Gordon Dickens,src/main/java/petclinic/repository/PetRepository.java,26.0,24.0
Gordon Dickens,src/main/java/petclinic/repository/VetRepository.java,10.0,11.0
Gordon Dickens,src/main/java/petclinic/repository/VisitRepository.java,12.0,13.0
Gordon Dickens,src/main/java/petclinic/repository/jdbc/JdbcOwnerRepositoryImpl.java,115.0,121.0
Gordon Dickens,src/main/java/petclinic/repository/jdbc/JdbcPet.java,16.0,16.0
Gordon Dickens,src/main/java/petclinic/repository/jdbc/JdbcPetRepositoryImpl.java,84.0,86.0
Gordon Dickens,src/main/java/petclinic/repository/jdbc/JdbcPetRowMapper.java,16.0,15.0
Gordon Dickens,src/main/java/petclinic/repository/jdbc/JdbcVetRepositoryImpl.java,48.0,45.0
Gordon Dickens,src/main/java/petclinic/repository/jdbc/JdbcVisitRepositoryImpl.java,56.0,57.0
Gordon Dickens,src/main/java/petclinic/repository/jpa/JpaOwnerRepositoryImpl.java,28.0,26.0
Gordon Dickens,src/main/java/petclinic/repository/jpa/JpaPetRepositoryImpl.java,19.0,17.0
Gordon Dickens,src/main/java/petclinic/repository/jpa/JpaVetRepositoryImpl.java,14.0,14.0
Gordon Dickens,src/main/java/petclinic/repository/jpa/JpaVisitRepositoryImpl.java,18.0,17.0
Gordon Dickens,src/main/java/petclinic/repository/springdatajpa/JpaOwnerRepositoryImpl.java,31.0,29.0
Gordon Dickens,src/main/java/petclinic/repository/springdatajpa/SpringDataPetRepository.java,6.0,5.0
Gordon Dickens,src/main/java/petclinic/repository/springdatajpa/SpringDataVisitRepository.java,1.0,1.0
Gordon Dickens,src/main/java/petclinic/service/ClinicService.java,15.0,19.0
Gordon Dickens,src/main/java/petclinic/service/ClinicServiceImpl.java,67.0,72.0
Gordon Dickens,src/main/java/petclinic/util/CallMonitoringAspect.java,55.0,58.0
Gordon Dickens,src/main/java/petclinic/util/EntityUtils.java,24.0,25.0
Gordon Dickens,src/main/java/petclinic/web/CrashController.java,10.0,10.0
Gordon Dickens,src/main/java/petclinic/web/OwnerController.java,97.0,106.0
Gordon Dickens,src/main/java/petclinic/web/PetController.java,53.0,61.0
Gordon Dickens,src/main/java/petclinic/web/PetTypeFormatter.java,28.0,29.0
Gordon Dickens,src/main/java/petclinic/web/PetValidator.java,8.0,9.0
Gordon Dickens,src/main/java/petclinic/web/VetController.java,14.0,18.0
Gordon Dickens,src/main/java/petclinic/web/VetsAtomView.java,37.0,39.0
Gordon Dickens,src/main/java/petclinic/web/VisitController.java,36.0,42.0
Gordon Dickens,src/test/java/petclinic/model/OwnerTests.java,15.0,16.0
Gordon Dickens,src/test/java/petclinic/repository/AbstractOwnerRepositoryTests.java,60.0,72.0
Gordon Dickens,src/test/java/petclinic/repository/AbstractPetRepositoryTests.java,63.0,63.0
Gordon Dickens,src/test/java/petclinic/repository/AbstractVetRepositoryTests.java,25.0,28.0
Gordon Dickens,src/test/java/petclinic/repository/AbstractVisitRepositoryTests.java,23.0,27.0
Gordon Dickens,src/test/java/petclinic/repository/jdbc/JdbcOwnerRepositoryImplTests.java,4.0,9.0
Gordon Dickens,src/test/java/petclinic/repository/jdbc/JdbcPetRepositoryImplTests.java,4.0,9.0
